QueryId,DocumentId
201,clueweb12-1310wb-04-16486
202,clueweb12-0814wb-20-13703
202,clueweb12-0602wb-40-19723
202,clueweb12-0610wb-53-03244
202,clueweb12-0002wb-14-02885
204,clueweb12-0110wb-31-04282
206,clueweb12-0108wb-19-09890
208,clueweb12-1611wb-58-24738
208,clueweb12-1011wb-62-00443
209,clueweb12-0301wb-72-04109
210,clueweb12-1315wb-81-10961
212,clueweb12-1204wb-60-03864
212,clueweb12-1204wb-03-28559
212,clueweb12-0910wb-47-21606
213,clueweb12-0307wb-13-30442
214,clueweb12-0002wb-22-08917
215,clueweb12-0108wb-75-21216
215,clueweb12-1711wb-68-03597
215,clueweb12-0811wb-35-15803
216,clueweb12-1708wb-91-16995
216,clueweb12-1507wb-65-12080
217,clueweb12-1700tw-16-18413
217,clueweb12-0008wb-95-01875
219,clueweb12-0611wb-46-11429
219,clueweb12-0104wb-08-05769
220,clueweb12-0207wb-21-07555
221,clueweb12-0105wb-94-18038
222,clueweb12-1910wb-87-19676
222,clueweb12-1514wb-91-11882
222,clueweb12-1310wb-37-11395
224,clueweb12-1504wb-87-23052
225,clueweb12-1710wb-67-04031
225,clueweb12-0914wb-16-05770
226,clueweb12-0203wb-03-16678
226,clueweb12-0506wb-84-22242
226,clueweb12-0602wb-69-24271
227,clueweb12-0011wb-37-19347
227,clueweb12-0506wb-77-11987
227,clueweb12-0506wb-07-08695
227,clueweb12-0610wb-74-19886
228,clueweb12-1504wb-24-11584
229,clueweb12-1504wb-17-22485
230,clueweb12-1909wb-38-08255
232,clueweb12-0400tw-20-04850
233,clueweb12-0901wb-25-14732
234,clueweb12-0111wb-91-11068
234,clueweb12-0209wb-04-24741
235,clueweb12-0506wb-70-18334
236,clueweb12-1714wb-88-02179
236,clueweb12-1409wb-00-13961
236,clueweb12-0602wb-52-30451
236,clueweb12-0012wb-53-16719
241,clueweb12-0005wb-28-10774
241,clueweb12-0407wb-89-22715
241,clueweb12-1814wb-24-15426
241,clueweb12-0302wb-91-27653
243,clueweb12-1005wb-03-16157
243,clueweb12-0102wb-06-30154
243,clueweb12-0914wb-92-07230
244,clueweb12-0312wb-00-16666
245,clueweb12-0008wb-14-17740
246,clueweb12-1218wb-32-18735
246,clueweb12-0410wb-06-18221
247,clueweb12-0109wb-48-07658
247,clueweb12-1015wb-50-00535
249,clueweb12-1101wb-86-18736
250,clueweb12-0109wb-49-09068
250,clueweb12-1009wb-78-18277
