QueryId,DocumentId
251,clueweb12-0310wb-58-26418
251,clueweb12-0400wb-96-10516
251,clueweb12-0000wb-58-28747
251,clueweb12-0710wb-68-06353
251,clueweb12-1912wb-65-25306
251,clueweb12-1801wb-75-03214
251,clueweb12-1414wb-69-21961
251,clueweb12-0605wb-45-20110
251,clueweb12-1910wb-36-10033
251,clueweb12-0211wb-73-14210
251,clueweb12-0110wb-33-32233
251,clueweb12-0703wb-81-19022
251,clueweb12-0303wb-73-15207
251,clueweb12-0008wb-68-25416
251,clueweb12-0300wb-50-03853
251,clueweb12-0311wb-57-05410
251,clueweb12-1704wb-55-08156
251,clueweb12-0400wb-50-06936
251,clueweb12-0006wb-33-07822
251,clueweb12-0401wb-42-12362
252,clueweb12-1305wb-70-04836
252,clueweb12-1206wb-40-25914
252,clueweb12-0604wb-30-32864
252,clueweb12-0603wb-73-02664
252,clueweb12-0911wb-12-05178
252,clueweb12-0603wb-64-21780
252,clueweb12-0712wb-68-01767
252,clueweb12-0006wb-67-21389
252,clueweb12-0602wb-87-12029
252,clueweb12-0210wb-79-16021
252,clueweb12-0201wb-50-22141
252,clueweb12-0311wb-12-07924
252,clueweb12-0918wb-52-18914
252,clueweb12-0715wb-83-20425
252,clueweb12-0709wb-53-21040
252,clueweb12-0711wb-29-11759
252,clueweb12-0714wb-66-10010
252,clueweb12-0714wb-37-04780
252,clueweb12-0709wb-23-21516
252,clueweb12-0715wb-42-05124
253,clueweb12-0504wb-38-29046
253,clueweb12-0713wb-40-03785
253,clueweb12-0102wb-42-16190
253,clueweb12-1113wb-05-18208
253,clueweb12-1702wb-95-23938
253,clueweb12-0807wb-22-25760
253,clueweb12-1212wb-24-07661
253,clueweb12-0209wb-71-25114
253,clueweb12-0304wb-14-29018
253,clueweb12-1600wb-32-12121
253,clueweb12-1118wb-68-09602
253,clueweb12-0112wb-28-04543
253,clueweb12-0110wb-52-30735
253,clueweb12-1406wb-96-06850
253,clueweb12-0808wb-58-05291
253,clueweb12-1301wb-99-25227
253,clueweb12-1009wb-92-11714
253,clueweb12-1306wb-55-19889
253,clueweb12-0305wb-16-05661
253,clueweb12-0108wb-93-30376
254,clueweb12-0911wb-76-02509
254,clueweb12-0008wb-78-18652
254,clueweb12-0311wb-35-25956
254,clueweb12-0602wb-20-22290
254,clueweb12-0006wb-89-24956
254,clueweb12-0911wb-52-13620
254,clueweb12-0918wb-43-20583
254,clueweb12-1507wb-88-23230
254,clueweb12-0100wb-35-12080
254,clueweb12-1102wb-46-00073
254,clueweb12-0211wb-89-20040
254,clueweb12-0006wb-77-02286
254,clueweb12-0600wb-38-09891
254,clueweb12-0911wb-62-24121
254,clueweb12-0805wb-09-08264
254,clueweb12-0004wb-85-05475
254,clueweb12-1705wb-84-23375
254,clueweb12-0404wb-37-13169
254,clueweb12-0001wb-85-16954
254,clueweb12-1815wb-08-11312
255,clueweb12-1811wb-26-03417
255,clueweb12-0918wb-07-02481
255,clueweb12-0917wb-83-22820
255,clueweb12-1811wb-53-06263
255,clueweb12-1811wb-23-09153
255,clueweb12-1811wb-88-05110
255,clueweb12-1811wb-48-19682
255,clueweb12-0919wb-50-01682
255,clueweb12-1204wb-62-11747
255,clueweb12-0906wb-67-25749
255,clueweb12-1811wb-83-00241
255,clueweb12-1811wb-97-10106
255,clueweb12-1811wb-62-03581
255,clueweb12-1004wb-83-29414
255,clueweb12-1708wb-51-07729
255,clueweb12-1810wb-50-15064
255,clueweb12-1005wb-29-29478
255,clueweb12-0301wb-71-04060
255,clueweb12-0918wb-07-02509
255,clueweb12-0919wb-65-12005
256,clueweb12-1508wb-51-14183
256,clueweb12-0302wb-40-17624
256,clueweb12-0300wb-35-08074
256,clueweb12-0302wb-10-12425
256,clueweb12-0609wb-71-19133
256,clueweb12-0301wb-07-01543
256,clueweb12-0207wb-37-10116
256,clueweb12-0304wb-00-01750
256,clueweb12-1607wb-06-14100
256,clueweb12-1513wb-11-16127
256,clueweb12-1504wb-19-29274
256,clueweb12-0009wb-72-15401
256,clueweb12-1109wb-24-38069
256,clueweb12-1109wb-13-16347
256,clueweb12-0301wb-16-07053
256,clueweb12-1900wb-93-24612
256,clueweb12-1606wb-84-13965
256,clueweb12-0701wb-58-15166
256,clueweb12-0000wb-16-26615
256,clueweb12-1009wb-46-01297
257,clueweb12-1407wb-12-00705
257,clueweb12-0411wb-45-01705
257,clueweb12-0106wb-81-19015
257,clueweb12-0311wb-00-26501
257,clueweb12-1013wb-09-04784
257,clueweb12-1312wb-57-20255
257,clueweb12-1702wb-39-17225
257,clueweb12-1713wb-70-04480
257,clueweb12-1305wb-37-04497
257,clueweb12-0409wb-57-33414
257,clueweb12-1002wb-62-25101
257,clueweb12-1405wb-00-21528
257,clueweb12-1810wb-90-03614
257,clueweb12-1005wb-31-26221
257,clueweb12-0106wb-09-26880
257,clueweb12-1407wb-08-08201
257,clueweb12-0306wb-36-26442
257,clueweb12-0111wb-66-23542
257,clueweb12-0609wb-17-21630
257,clueweb12-0310wb-94-34539
258,clueweb12-0005wb-79-05629
258,clueweb12-0918wb-20-04302
258,clueweb12-1707wb-92-21369
258,clueweb12-0304wb-98-16177
258,clueweb12-0305wb-40-25365
258,clueweb12-0305wb-21-09481
258,clueweb12-0304wb-93-11900
258,clueweb12-0305wb-31-00826
258,clueweb12-0203wb-82-15786
258,clueweb12-0300wb-99-12066
258,clueweb12-1516wb-36-01300
258,clueweb12-0305wb-14-06107
258,clueweb12-1708wb-46-12924
258,clueweb12-0300wb-82-00419
258,clueweb12-0208wb-56-34488
258,clueweb12-0409wb-98-15919
258,clueweb12-1009wb-17-14784
258,clueweb12-1111wb-96-01192
258,clueweb12-1114wb-78-06155
258,clueweb12-0506wb-40-00484
259,clueweb12-1905wb-70-17703
259,clueweb12-0012wb-70-18647
259,clueweb12-1808wb-79-06359
259,clueweb12-1313wb-39-03761
259,clueweb12-1201wb-29-25435
259,clueweb12-0301tw-44-12669
259,clueweb12-0410wb-24-04799
259,clueweb12-0211wb-53-19459
259,clueweb12-0210wb-13-21147
259,clueweb12-1508wb-48-18702
259,clueweb12-1508wb-48-06496
259,clueweb12-0204wb-22-03994
259,clueweb12-1003wb-44-17366
259,clueweb12-0101wb-09-16798
259,clueweb12-0104wb-16-27750
259,clueweb12-0808wb-56-26098
259,clueweb12-1316wb-19-07590
259,clueweb12-1913wb-77-16493
259,clueweb12-0000tw-47-24361
259,clueweb12-1601wb-42-00581
260,clueweb12-0408wb-04-14255
260,clueweb12-0714wb-59-06157
260,clueweb12-0308wb-69-14293
260,clueweb12-0305wb-14-00223
260,clueweb12-0110wb-59-16671
260,clueweb12-1000wb-42-33678
260,clueweb12-1800wb-40-29532
260,clueweb12-0108wb-31-34678
260,clueweb12-1304wb-00-07607
260,clueweb12-0100wb-58-17074
260,clueweb12-0505wb-05-07143
260,clueweb12-1306wb-47-24694
260,clueweb12-1412wb-26-21611
260,clueweb12-1611wb-17-07751
260,clueweb12-0410wb-55-00897
260,clueweb12-1412wb-48-01662
