QueryId,DocumentId
303,APW19990826.0244
303,XIE19970513.0108
303,APW19990224.0040
303,APW19990224.0042
303,APW19990310.0063
303,APW19990310.0167
303,APW19990311.0166
303,NYT19991115.0396
303,NYT19990310.0333
303,NYT19991215.0229
303,APW19991013.0171
303,NYT19991222.0420
303,NYT19990310.0503
303,XIE20000522.0056
303,XIE19970221.0084
303,NYT19991223.0360
303,XIE19981010.0047
303,APW19990516.0013
303,APW19990516.0127
303,APW19991006.0285
303,APW19991007.0315
303,XIE19970211.0046
303,APW19991006.0154
303,XIE19970211.0115
303,XIE19990416.0045
303,NYT19991221.0351
303,NYT19991223.0308
303,NYT19991223.0384
303,NYT19991222.0449
303,NYT19991220.0383
303,APW19990428.0195
303,NYT19991219.0272
303,NYT19991115.0309
303,APW19990718.0024
303,APW19980609.1531
303,XIE19980610.0069
303,NYT19981008.0331
303,NYT19990107.0373
303,NYT19990909.0337
303,NYT19981008.0371
303,APW19990624.0050
303,NYT19991215.0237
303,XIE19990109.0245
303,NYT19990108.0368
303,APW19990209.0343
303,APW19990209.0357
303,APW19990209.0359
303,APW19990210.0167
303,APW19990210.0168
303,APW19990210.0356
303,APW19990210.0359
303,APW19990624.0293
303,NYT19991206.0115
303,NYT19990211.0114
303,APW19990108.0103
303,APW19990108.0283
303,APW19990414.0120
303,APW19990414.0141
303,APW19990414.0198
303,XIE19961108.0181
303,NYT19991105.0298
303,NYT19991214.0327
303,NYT19991227.0400
303,XIE19991228.0201
303,NYT19991213.0349
303,NYT20000602.0091
303,NYT20000602.0092
303,NYT19990723.0219
303,APW19990519.0068
303,APW19990519.0070
303,APW19990519.0141
303,NYT20000602.0093
303,NYT19990120.0443
303,NYT19991228.0262
303,APW19990120.0256
303,APW19990417.0073
303,APW19990417.0118
303,NYT19990723.0236
303,NYT20000210.0063
303,NYT19990826.0251
303,NYT19990813.0203
303,APW19990416.0258
303,APW19990416.0302
303,APW19990812.0160
303,APW19990909.0053
303,XIE19980306.0339
303,NYT19980601.0308
303,APW19990724.0076
303,APW19990525.0223
303,NYT19990719.0430
