QueryId,DocumentId
303,NYT19991223.0360
303,NYT19991219.0272
303,NYT19991222.0449
303,NYT19990310.0333
303,NYT19991215.0229
303,NYT19991215.0237
303,APW19990826.0244
303,NYT19991222.0420
303,NYT19980615.0134
303,NYT19991115.0309
303,NYT19991206.0115
303,NYT19991220.0383
303,NYT19981008.0371
303,NYT19990108.0368
303,NYT19990927.0283
303,XIE19961108.0181
303,NYT19990719.0430
303,NYT19990310.0503
303,APW19990224.0040
303,APW19990224.0042
303,NYT19991115.0396
303,XIE19970211.0046
303,NYT19981228.0315
303,NYT19981007.0265
303,NYT19990826.0251
303,NYT19980601.0308
303,NYT20000602.0093
303,NYT19990718.0148
303,NYT20000427.0037
303,APW19990108.0103
303,APW19990108.0283
303,NYT20000518.0275
303,APW19980610.1778
303,APW19990310.0063
303,APW19990310.0167
303,APW19990311.0166
303,APW19990724.0076
303,APW19990723.0029
303,XIE19970221.0084
303,NYT19990107.0373
303,NYT19991105.0298
303,NYT19990211.0114
303,NYT19981008.0331
303,NYT19991214.0327
303,NYT19991227.0400
303,NYT19990723.0236
303,NYT19991221.0351
303,APW19990516.0013
303,APW19990516.0127
303,XIE19980610.0069
303,XIE19991228.0201
303,NYT20000602.0091
303,NYT20000602.0092
303,APW19990417.0073
303,APW19990417.0118
303,APW19990416.0258
303,APW19990416.0302
303,NYT19990813.0203
303,NYT19990809.0281
303,NYT19990607.0234
303,NYT19990601.0311
303,NYT19981019.0198
303,NYT19991217.0338
303,NYT19981012.0245
303,APW19990428.0195
303,XIE19990109.0245
303,APW19990120.0256
303,APW19980715.1061
303,APW20000613.0088
303,APW19990601.0297
303,APW19990602.0158
303,NYT19980701.0228
303,NYT19990723.0009
303,NYT20000210.0062
303,XIE19970513.0108
303,APW19991013.0171
303,APW19990624.0050
303,APW19991006.0285
303,NYT19990723.0219
303,APW19990718.0024
303,XIE19981010.0047
303,XIE19990416.0045
303,NYT19990909.0337
303,APW19991007.0315
303,APW19990414.0120
303,APW19990414.0141
303,APW19990414.0198
303,XIE20000522.0056
303,APW19990519.0068
303,APW19990519.0070
303,APW19990519.0141
303,NYT20000210.0063
303,APW19990525.0223
303,NYT19990520.0073
303,NYT19981123.0242
303,NYT19980716.0050
303,NYT19990329.0296
303,NYT19981023.0182
303,APW19990310.0227
303,APW20000426.0278
307,XIE19990501.0067
307,NYT20000801.0357
307,XIE19970306.0116
307,NYT19980923.0435
307,NYT20000211.0274
307,NYT20000211.0327
307,XIE19960929.0108
307,XIE19980918.0161
307,NYT19990712.0395
307,XIE19960305.0207
307,XIE19961006.0133
307,XIE20000824.0267
307,XIE19981007.0271
307,XIE20000202.0158
307,XIE20000703.0032
307,XIE19960308.0121
307,XIE19971217.0154
307,XIE19960913.0269
307,XIE20000728.0086
307,XIE19961203.0196
307,APW19981111.0561
307,XIE19980702.0209
307,XIE19960412.0138
307,XIE20000821.0199
307,APW19980915.0811
307,XIE19961118.0175
307,XIE19960528.0202
307,XIE19970621.0161
307,XIE19991017.0017
307,XIE20000904.0217
307,NYT19990312.0334
307,APW19980731.0324
307,APW19990701.0169
307,APW20000921.0107
307,NYT19980715.0039
307,NYT19981127.0214
307,XIE19971106.0004
307,XIE19961210.0221
307,XIE19960318.0051
307,XIE20000705.0141
307,XIE19980529.0217
307,XIE19960815.0223
307,XIE20000303.0117
307,XIE19960414.0024
307,XIE19960120.0138
307,XIE19960207.0224
307,XIE19970323.0146
307,XIE19970925.0279
307,XIE19980818.0211
307,XIE19970502.0182
307,XIE19980310.0277
307,APW19981130.0743
307,XIE19970212.0050
307,XIE19960726.0192
307,XIE19971020.0084
307,XIE19981201.0195
307,XIE20000228.0166
307,XIE20000518.0370
307,XIE20000821.0217
307,XIE19961127.0049
307,APW20000531.0175
307,XIE19990831.0094
307,NYT19980616.0333
307,NYT19980616.0338
307,XIE19970307.0157
307,APW20000412.0013
307,XIE19970212.0184
307,XIE19970423.0207
307,XIE19990310.0336
307,XIE19960618.0150
307,XIE19960619.0030
307,XIE19981213.0121
307,XIE19980424.0279
307,XIE19971223.0243
307,XIE19961111.0203
307,APW19981022.0710
307,XIE19970726.0166
307,NYT19990915.0066
307,XIE19971211.0333
307,XIE19970120.0005
307,XIE19981121.0137
307,APW19980602.0026
307,XIE19980915.0116
307,XIE19961025.0255
307,XIE19970114.0096
307,APW19980604.1359
307,APW19980709.0263
307,XIE19961021.0205
307,XIE19960506.0029
307,XIE19960107.0117
307,XIE19980206.0059
307,XIE19960612.0119
307,XIE19980828.0050
307,XIE19980818.0208
307,XIE19960529.0185
307,XIE19990620.0020
307,XIE20000602.0262
307,APW19990701.0095
307,XIE19970419.0120
307,XIE19960923.0118
310,NYT20000328.0130
310,NYT19990809.0225
310,NYT19991025.0333
310,NYT20000726.0313
310,NYT19980817.0237
310,NYT19991003.0408
310,NYT19991003.0452
310,NYT20000602.0065
310,NYT20000529.0120
310,NYT20000712.0030
310,NYT19991018.0256
310,NYT19990503.0188
310,APW20000608.0153
310,NYT19980608.0441
310,NYT20000802.0441
310,NYT20000802.0402
310,NYT20000612.0138
310,NYT19980917.0141
310,NYT19990113.0081
310,NYT19990907.0397
310,NYT19990420.0083
310,NYT19990420.0213
310,NYT19990420.0227
310,NYT20000323.0171
310,NYT20000323.0177
310,APW20000210.0137
310,APW20000210.0273
310,APW19990721.0090
310,NYT20000925.0225
310,APW20000211.0053
310,APW19990419.0207
310,NYT19990405.0532
310,APW19990515.0027
310,NYT20000306.0096
310,NYT20000306.0097
310,XIE19971015.0183
310,XIE19971015.0201
310,NYT19990125.0146
310,NYT19990624.0133
310,APW19990609.0250
310,APW19990609.0203
310,APW20000511.0135
310,XIE19970830.0001
310,NYT19990729.0065
310,NYT19990318.0158
310,APW19990724.0027
310,APW20000210.0329
310,NYT19990201.0297
310,NYT19990323.0202
310,NYT19980806.0056
310,NYT19990524.0338
310,APW19980603.0791
310,XIE19960410.0180
310,NYT19990805.0436
310,NYT19980623.0472
310,NYT19991104.0281
310,NYT19990107.0065
310,APW19990709.0061
310,NYT19981026.0116
310,NYT19981026.0117
310,NYT19990510.0262
310,APW19990501.0014
310,NYT19981013.0070
